,Lat,Lon,Cls,species,country_code,state,Alt,Alt_zone,presence
12396,45.12890625,-93.39014434814452,Dfb,9602,US,Minnesota,264.0,3,1
12397,39.376564025878906,-84.48802185058594,Cfa,9602,US,Ohio,225.0,3,1
12398,29.806640625,-95.76553344726562,Cfa,9602,US,Texas,45.0,2,1
12399,41.96307373046875,-87.63435363769531,Dfa,9602,US,Illinois,183.0,3,1
12400,39.09416580200195,-77.50969696044922,Cfa,9602,US,Virginia,90.0,2,1
12401,29.69957733154297,-95.45169830322266,Cfa,9602,US,Texas,22.0,1,1
12402,42.15163040161133,-71.6494369506836,Dfb,9602,US,Massachusetts,86.0,2,1
12403,38.39991760253906,-76.41200256347656,Cfa,9602,US,Maryland,11.0,1,1
12404,40.79449844360352,-73.9566879272461,Cfa,9602,US,New York,20.0,1,1
12405,40.72392654418945,-74.28654479980469,Cfa,9602,US,New Jersey,38.0,2,1
12406,41.68549728393555,-83.36692810058594,Dfa,9602,US,Ohio,175.0,3,1
12407,43.20320892333984,-89.18623352050781,Dfb,9602,US,Wisconsin,293.0,3,1
12408,44.5020637512207,-73.17569732666016,Dfb,9602,US,Vermont,96.0,2,1
12409,43.6431770324707,-71.5904769897461,Dfb,9602,US,New Hampshire,304.0,3,1
12410,41.67502975463867,-70.09185791015625,Cfa,9602,US,Massachusetts,5.0,1,1
12411,44.26073455810547,-72.57019805908203,Dfb,9602,US,Vermont,168.0,3,1
12412,35.89850997924805,-79.03319549560547,Cfa,9602,US,North Carolina,99.0,2,1
12413,39.94335174560547,-104.75965881347656,BSk,9602,US,Colorado,1557.0,6,1
12414,41.00826644897461,-87.27875518798828,Dfa,9602,US,Indiana,211.0,3,1
12415,42.83830261230469,-85.78067779541016,Dfb,9602,US,Michigan,221.0,3,1
12416,30.23308181762696,-97.50643920898438,Cfa,9602,US,Texas,126.0,3,1
12417,46.65527725219727,-87.63027954101562,Dfb,9602,US,Michigan,332.0,3,1
12418,32.786582946777344,-96.80624389648438,Cfa,9602,US,Texas,132.0,3,1
12419,26.205888748168945,-81.80733489990234,Aw,9602,US,Florida,7.0,1,1
12420,38.8381462097168,-97.56576538085938,Cfa,9602,US,Kansas,382.0,3,1
12421,29.806640625,-95.76553344726562,Cfa,9602,US,Texas,45.0,2,1
12422,41.95322799682617,-71.6031265258789,Cfb,9602,US,Rhode Island,114.0,3,1
12423,38.77915954589844,-77.05914306640625,Cfa,9602,US,Virginia,9.0,1,1
12424,42.067901611328125,-70.19560241699219,Cfa,9602,US,Massachusetts,3.0,1,1
12425,32.93560791015625,-96.65097045898438,Cfa,9602,US,Texas,183.0,3,1
12426,42.42897033691406,-89.19662475585938,Dfa,9602,US,Illinois,223.0,3,1
12427,42.99931716918945,-76.10297393798828,Dfb,9602,US,New York,227.0,3,1
12428,40.98483276367188,-76.466552734375,Dfa,9602,US,Pennsylvania,143.0,3,1
12429,40.620601654052734,-80.0302734375,Dfb,9602,US,Pennsylvania,320.0,3,1
12430,42.03987121582031,-72.59228515625,Dfb,9602,US,Massachusetts,21.0,1,1
12431,33.79518127441406,-84.36922454833984,Cfa,9602,US,Georgia,253.0,3,1
12432,40.66286087036133,-73.74309539794922,Cfa,9602,US,New York,4.0,1,1
12433,29.806640625,-95.76553344726562,Cfa,9602,US,Texas,45.0,2,1
12434,43.82175064086914,-101.90046691894533,BSk,9602,US,South Dakota,760.0,4,1
12435,39.01912689208984,-84.02005767822266,Cfa,9602,US,Ohio,274.0,3,1
12436,42.32163619995117,-71.11853790283203,Dfa,9602,US,Massachusetts,21.0,1,1
12437,42.36897277832031,-71.100341796875,Dfa,9602,US,Massachusetts,9.0,1,1
12438,37.708290100097656,-89.22359466552734,Cfa,9602,US,Illinois,139.0,3,1
12439,42.528690338134766,-83.44432830810547,Dfb,9602,US,Michigan,296.0,3,1
12440,36.16194534301758,-82.8308334350586,Cfa,9602,US,Tennessee,454.0,3,1
12441,38.912864685058594,-76.94302368164062,Cfa,9602,US,Maryland,3.0,1,1
12442,38.9336166381836,-79.96515655517578,Dfb,9602,US,West Virginia,614.0,4,1
12443,44.49142837524414,-73.17715454101562,Dfb,9602,US,Vermont,46.0,2,1
12444,40.79449844360352,-73.9566879272461,Cfa,9602,US,New York,20.0,1,1
12445,40.14201736450195,-75.0829849243164,Cfa,9602,US,Pennsylvania,101.0,3,1
12446,40.08875274658203,-105.213623046875,BSk,9602,US,Colorado,1584.0,6,1
12447,40.655757904052734,-73.99696350097656,Cfa,9602,US,New York,28.0,2,1
12448,40.43069839477539,-81.98719787597656,Cfa,9602,US,Ohio,279.0,3,1
12449,39.68574905395508,-105.10034942626952,Dfb,9602,US,Colorado,1715.0,6,1
12450,42.27294158935547,-87.93923950195312,Dfa,9602,US,Illinois,202.0,3,1
12451,40.60279083251953,-74.53282165527344,Cfa,9602,US,New Jersey,80.0,2,1
12452,43.91770935058594,-73.1742172241211,Dfb,9602,US,Vermont,107.0,3,1
12453,39.75043487548828,-104.95255279541016,BSk,9602,US,Colorado,1614.0,6,1
12454,41.75484848022461,-72.61929321289062,Dfa,9602,US,Connecticut,14.0,1,1
12455,33.0743408203125,-97.00003051757812,Cfa,9602,US,Texas,170.0,3,1
12456,38.33924865722656,-75.63397216796875,Cfa,9602,US,Maryland,9.0,1,1
12457,39.84707260131836,-74.99870300292969,Cfa,9602,US,New Jersey,24.0,1,1
12458,42.36280822753906,-71.2522964477539,Dfa,9602,US,Massachusetts,22.0,1,1
12459,44.32907485961914,-72.5028076171875,Dfb,9602,US,Vermont,317.0,3,1
